Наименование объекта центра питания, класс напряжения;Год ввода/Год реконструкции (при изменении установленной мощности) ;Установленная мощность трансформаторов;Широта;Долгота
110/6 Авторемзавод;1990;32;50.612615;36.53586425
110/35/10 Айдар;1971;26;50.048215;38.921535
110/35/10 Александровка;1981;50;51.02540675;36.70774525
110/35/10 Алексеевка;1965;75;50.61025;38.696717
110/35/10 Архангельское;1985;26;51.2550375;38.08576
110/6/6 Белгород;1958;120;50.619903;36.566542
110/35/10 Борисовка;1985;32;50.601953;36.0435835
110/35/10 Вейделевка;1983;20;50.1558555;38.42693617
110/35/10 Верхняя Покровка;1968;20;50.787017;38.441583
110/6/6 Витаминный комбинат;1976;80;50.5620485;36.66938325
110/35/10 Волоконовка;1966;50;50.4735125;37.87465425
110/35/6 Восточная;1971;80;50.54451475;36.66421875
110/10 Голофеевка;1979;20;51.104565;37.89444
110/10 Готня;1985;32;50.789103;35.7944545
110/35/10 Грайворон;1961;32;50.4875835;35.695047
110/35/10 Долгая Поляна;1987;6.3;51.153566;37.76205
110/6/6 Донец;2007;80;50.599735;36.618785
110/10 Дубовое;1998;80;50.55890833;36.58023467
110/35/6 Журавлики;1995;65;51.282365;37.4832275
110/10 Западная;1986;32;50.5945245;36.56037475
110/35/10 Ивня;1990;20;51.055524;36.11802225
110/10/6 Казацкие Бугры;1988;50;51.3081175;37.730545
110/35/10 Коньшино;1991;3.2;51.05914667;37.358825
110/35/10 Короча;1982;48;50.8209195;37.16086625
110/10 Крапивенская;2010;32;50.83240525;36.47905975
110/35/10 Красная Яруга;1983;32;50.783456;35.66057275
110/35/10 Красногвардейское;1985;32;50.622217;38.394167
110/35/6 Крейда;2014;50;50.5935;36.657
110/35/10 Майская;2009;80;50.55021125;36.52207575
110/35/10 Максимовка;1986;32;50.52573675;37.34735475
110/35/10 Малиновка;2006;32;50.829335;35.92280425
110/10 Нежеголь;2014;80;50.40295;36.97675
110/35/10 Новый Оскол;1965;56.5;50.783134;37.897036
110/10/10 Обуховская;1977;50;51.1843375;37.9535225
110/35/10 Оросительная;1985;32;50.1525;38.1433375
110/6 Очистные;1978;32;51.25510667;37.848275
110/10/6 Пищепром;1994;50;50.61351;36.658226
110/10/10 Промышленная;1982;50;51.336795;37.84764333
110/10 ПТФ;1981;32;50.8379;37.806516
110/10/10 Пушкарная;1977;80;51.2844125;37.8911675
110/35/10 Ракитное;1987;32;50.83730325;35.783233
110/35/10 Ровеньки;2001;16;49.909517;38.9199
110/35/6 Рудник;1983;50;50.86869325;36.39881725
110/10/10 Северная;2006;80;50.668308;36.557015
110/35/10 Серебрянка;1987;10;50.69517875;37.92686225
110/35/10 Скородное;1994;32;51.0575775;37.2129575
110/35/6 Старый Оскол-1;1962;70;51.27566;37.81117
110/35/10 Стрелецкая;1986;32;50.641631;36.450951
110/6 Строитель;1971;30;50.79148;36.4742215
110/35/10 Томаровка;1973;32;50.66329625;36.2407185
110/6/6 Химзавод;1979;64;50.407973;36.916639
110/10/10 Центральная;1988;80;51.3321125;37.9229775
110/35/10 Черемошное;1986;50;50.375779;36.49104775
110/35/10 Чернянка;1966;32;50.9076425;37.80483
110/35/6 Шебекино;1962;80;50.4132692;36.8962888
110/10 Шеино;1974;16.3;50.686972;36.880295
110/10/6 Южная;1968;80;50.57417525;36.5963465
35/10 Алейниково;1986;5;50.480055;38.89023
35/10 Алексеевка (Кор.);1972;8;50.76675;37.041954
35/10 Алексеевка (Як.);1991;5;50.859772;36.217005
35/10 Анновка;1984;5;50.7698585;37.454855
35/10 Артельное;1989;12.6;50.61759675;37.32703225
35/10 Афанасьевка;1986;2.5;50.51372025;37.6973875
35/10 Большая Ивановка;1964;5;50.868716;38.164133
35/10 Белый Колодезь;1971;5;50.01249175;38.68587075
35/10 Белый Плес;1973;5;50.16551225;38.622996
35/10 Большая Троица;1967;12.6;50.54988675;37.26535425
35/10 Бабровы Дворы;2009;8;51.18297;37.3981875
35/10 Беловское;1984;12.6;50.57593175;36.72790575
35/10 Белянка;1974;6.5;50.465407;37.19704775
35/10 Бессоновка;1968;20;50.53299825;36.29992075
35/10 Борисовка;1991;1.6;50.370833;37.656883
35/10 Борисы;1983;1.6;50.874805;37.10218
35/10 Великомихайловка;1965;8;50.76228;37.60013
35/10 Варваровка;1967;5;50.3728085;38.84695425
35/10 Венгеровка;1988;5;50.92948575;36.020528
35/10 Верхние Лубянки;1984;4.1;50.4492;37.741567
35/10 Верхопенье;1982;8;50.93935275;36.26420675
35/10 Викторополь;1982;6.5;50.088829;38.483296
35/10 Вислая Дубрава;1975;8;51.26762;37.32029
35/10 Владимировка;1989;8;51.09576933;38.33699833
35/10 Водохранилище;1979;10.3;50.40565975;36.74423775
35/6 Восточная;1969;12.6;51.26725;37.5711
35/10 Всесвятка;1981;5;50.016315;39.101245
35/10 Глинное;1992;12.6;50.861205;37.997385
35/10 Головчино;1982;8;50.519383;35.7893595
35/10 Гора-Подол;1989;6.5;50.45701575;35.651112
35/10 Городище;1973;8;51.1392375;38.1156225
35/10 Гостищево;1987;12.6;50.7848645;36.641785
35/10 Грузское;1970;1.6;50.5089265;35.97391425
35/10 Дмитриевка;1989;8;50.77928525;35.98293375
35/10 Дорогощь;1979;8;50.5745605;35.5753635
35/10 Драгунка;1985;5;50.746229;36.286607
35/10 Журавлевка;1992;6.5;50.34548225;36.29942425
35/6 Журавлики;1980;20;51.27881;37.51707
35/10 Завидовка;1967;5;50.85724275;36.13672025
35/6 Западная;1973;30;51.35642;37.51606
35/6 Земснаряд;1985;5;50.5332815;36.63366875
35/10 Зозули;1953;20;50.56831925;35.9256455
35/10 Ивица;1971;5;50.70143825;37.235446
35/6 Ивнянский сахзавод;1993;2.5;51.059325;36.158263
35/10 Иловка;1979;8;50.70946675;38.6526125
35/10 Истобное;1987;6.5;51.145105;37.3152275
35/10 Казацкая;1979;6.5;51.30918;37.78044
35/10 Казачья Лисица;1994;2.5;50.615462;35.736171
35/10 Казинка;1966;8;50.2291915;37.8450415
35/10 Камызино;1991;2.5;50.8458375;38.5867375
35/10 Камышеватое;1976;5;50.488571;38.55775
35/10 Кировская;2000;12.6;50.86526975;35.8773455
35/10 Колосково;1990;2.5;50.248625;38.0020165
35/10 Котово;1982;8;51.3087775;38.0120525
35/10 Кочетовка;1990;6.5;51.0294225;36.43158925
35/10 Красное;1964;6.5;50.67960825;38.155929
35/10 Кретово;1981;6.5;51.19644575;37.18367475
35/10 Крюково;1993;2.5;50.65569525;35.9854355
35/10 Курасовка;1984;12.6;51.05720925;36.1777195
35/10 Кущино;1988;1.6;50.54602925;38.629104
35/6 Лебеди;1965;9.6;51.297795;37.598025
35/6 Ледовая;2003;8;51.2666625;37.5082825
35/10 Ливенка;1984;8;50.45821;38.2848
35/10 Лопухинка;1989;2.5;51.28830375;37.1733915
35/10 Лубяное;1978;5;50.96132;38.20108
35/10 Мухоудеровка;1980;5;50.6638;38.881833
35/10 Малакеево;1969;2.5;50.3170675;38.655695
35/10 Малая Троица;1990;5;51.03326;38.04205
35/10 Мандрово;1980;5;50.26700825;38.293373
35/10 Маслова Пристань;1979;20;50.4480295;36.76143575
35/10 Муром;1991;2.5;50.31981925;36.6920255
35/10 Новоалександровка;1967;5;50.1528115;38.89886075
35/10 Новая Таволжанка;1978;12.6;50.3524995;36.84957475
35/10 Новоуколово;1969;6.5;51.0095375;38.41507525
35/10 Новохуторное;1976;6.5;50.56115425;38.202379
35/10 Неминущее;1974;5;50.5366875;38.9167925
35/10 Нечаевка;1967;8;50.35426975;36.614379
35/10 Никитовка;1994;5;50.34294575;38.41299575
35/10 Николаевка;1989;2.5;50.2048725;38.7266825
35/10 Никольское;1997;2.5;50.4404445;36.56469475
35/10 Новая Деревня;1985;12.6;50.478888;36.4287865
35/10 Новенькое;1992;8;50.98231125;36.1663225
35/10 Октябрьская;1985;20;50.439543;36.370527
35/10 Орлик;1967;8;51.062665;37.7050025
35/10 Подольхи;1980;5;50.97285167;36.88440333
35/10 Покровка;1988;2.5;50.50790425;38.0057625
35/10 Поповка;1988;6.5;50.8654175;37.18674
35/10 Прелестное;1976;8;51.03197025;36.6147215
35/6 Привокзальная;1969;12.6;51.3026925;37.8700125
35/10 Прилепы;1981;5;50.8897125;37.5611625
35/10 Принцевка;1980;5;50.31493775;37.92532475
35/10 Пятницкое;1993;4;50.42099575;37.85020425
35/10 Радьковка;1975;12.6;51.0848725;36.9703425
35/10 Раздорное;1988;5;50.629575;38.16975875
35/10 Репяховка;1977;5;50.852203;35.47476775
35/10 Ржевка;1970;12.6;50.4359685;37.00515875
35/10 Ровеньки;1964;8;49.9092325;38.9205475
35/10 Роговатое;1984;8;51.219595;38.3573075
35/0,4 Рождественская;2010;5;50.1970725;38.16215
35/10 Сапрыкино;1996;5;51.1280675;37.6446225
35/10 Свистовка;1989;2.5;50.979125;38.74609175
35/6 Северная;1968;12.6;51.2882675;37.534955
35/10 Сетище;1983;5;50.94813325;38.621029
35/10 С-з Уразовский;1978;2.5;49.95264575;38.09973407
35/10 Слоновка;1972;8;50.69855175;37.721987
35/10 Стариково;1967;8;50.57493675;37.0436125
35/6 Старый Оскол-2;1958;32;51.29336;37.83472
35/10 Таврово;1994;20;50.52477225;36.56849425
35/10 Теребрино;1985;5;50.747971;35.545581
35/10 Уразово;1967;12.6;50.0901;38.05439
35/10 Уточка;1988;4.1;50.8371335;38.34375
35/6 Федосеевка;1982;8;51.3507975;37.780015
35/10 Фощеватово;1983;4.1;50.430983;38.056767
35/10 Харьковское;1985;2.5;50.20027;39.030805
35/10 Холодное;1989;8;51.0141725;37.09269
35/10 Церковная;1993;5;50.43996725;36.30212575
35/6 Чернянский сахарный завод;1992;13.8;50.9333675;37.8402375
35/10 Шаталовка;1974;12.6;51.14519;38.2605175
35/10 Шаховка;1984;8;50.44300025;37.57395425
35/10 Шишино;1991;12.6;50.67883825;36.6729495
35/0,4 Юбилейная;2010;3.2;50.1963035;38.16004675
35/10 Яблоново;1970;8;50.84781225;37.35887975
35/10 Ярское;1983;5;50.6547425;37.5790425
