№ п/п;Наименование центра питания;Уровень напряжения, кВ;Установленная мощность, МВА
;ПС 87 км;110/6;5.6
;ПС № 4 Тепличный комбинат;110/6;32
;ПС № 11 Гамма;110/6;5.6
;ПС Черский;110/6;30
;ПС № 1 Прима;110/35/6;32
;ПС № 7 Алискерово;110/35/6;15.6
;ПС № 8  Гремучий;110/35/6;11.9
;ПС № 19 Комсомольский;110/35/6;12.6
;ПС № 22  Южный;110/35/6;20
;ПС № 32 Встречный;110/35/6;22.3
;ТП Чаунская ТЭЦ;6/35/110;16
;ТС Анадырская ТЭЦ;6/35/110;50
;ПС Эгвекинот;35/6;8.1
;ПС № 14  Полярная;35/0,4;0.1
;ПС Ретранслятор Встречный;35/0,4;0.1
;ПС № 36 Янранай;35/0,4;1.26
;ПС № 2   Дымка;35/6;8
;ПС № 6 Весёлый;35/6;4
;ПС № 9 Спорный;35/6;5
;ПС № 25 Атомка;35/6;6.5
;ПС № 40 Центральная;35/6;12.6
;ПС № 44 Кепервеем;35/6;5
;ПС-35 Безымянный;35/6;0.1
;ПС № 42 Вега;35/6;5.6
;ПС № 43 Апапельгино;35/6;2
;ПС № 13 Лагуна;35/6;8
;ПС № 15 18км – ЧРМЗ;35/6;3.2
;ТС Анадырская ГМТЭЦ;6/35;32
;ПС Угольные Копи;35/6;13
;ПС Аэропорт;35/10;12.6
;ПС Рыткучи;35/6;6.8
;ПС Янранай;35/6;1.2
