№ п/п;Наименование центра питания;Классы напряжения, кВ;Установленная мощность, МВА;
1;22 П Съезд;35/10;1.8;
2;3я Ферма;35/10;1;
3;Агвали;35/10;10.3;
4;Аграханская;35/6;2.5;
5;Акбулатюрт ;35/10;2.5;
6;Аксай;35/10;4.1;
7;Акташ;110/35/10;41;
8;Акуша;110/35/10;26;
9;Александрия;110/35/10;12.6;
10;Аликазган ;35/10;1.6;
11;Алмало;35/10;5;
12;Анди;35/10;8.8;
13;Андрейаул (Эндирей);35/10;2.5;
14;Анцух;110/35/10;20;
15;Араблинка;110/10;5;
16;Аргвани;110/10;6.3;
17;Арсланбек;110/10;2.5;
18;Ахты;110/35/10;20;
19;Бабаюрт;110/35/10;26;
20;Бажиган;35/6;1.6;
21;Б-Арешевка;35/10;5;
22;Бежта;35/10;3.5;
23;Ботлих;110/35/10;26;
24;Брянск;35/10;1.6;
25;Буйнакск-1;110/35/6;50;
26;Буйнакск-2;110/35/6;32;
27;Вачи;35/10;4;
28;Восточная;35/10;50;
29;Геджух;110/10;12.5;
30;Гергебиль;110/35/10;50;
31;Гертма;35/10;1.6;
32;Гидатль;110/10;6.3;
33;ГКЗ;35/10;12.6;
34;ГПП;110/6;71.5;
35;Граничная;35/10;1;
36;Грузинская;35/10;1.6;
37;Гулькутан;35/10;3.5;
38;Гуниб;110/35/10;20;
39;Гурбуки;35/10;4;
40;Дагестан ;35/10;5.6;
41;Дженгутай;35/10;8;
42;Джигильта;110/10;2.5;
43;Джимикент;35/10;2.5;
44;Д-Западная;110/6;16.3;
45;Димитрова ;35/10;6;
46;Дружба;35/10;2.5;
47;Д-Северная;110/6;32;
48;Дубки;110/35/10;5;
49;Дурмаз;35/10;1.6;
50;Дылым;110/35/10;20;
51;Ерси;35/10;1.6;
52;Заиб;110/10;6.3;
53;Заречная;110/10;2.5;
54;Заря;35/10;1;
55;Зрых;35/10;1.6;
56;ЗТМ;110/6;41;
57;Зуберха;35/10;2.6;
58;ЗФС;110/35/6;40;
59;Игали;35/10;1.6;
60;Изберг-Сев;110/35/10;32;
61;Изберг-Ю;110/6;12.6;
62;Казанище;35/10;6.5;
63;Казиюрт;35/10;1.6;
64;Кайтаг;110/35/10;22.3;
65;Калиновка;110/10;2.5;
66;Капир;110/10;2.5;
67;Капкаякент;35/10;1.6;
68;Карабудахкент;35/10;8.3;
69;Карагас;35/10;1.6;
70;Карадах;110/10;12.5;
71;Карата;35/10;10;
72;Караузек;35/10;1.6;
73;Касумкент ;110/35/10;12.6;
74;Каякент  ;110/10;16.3;
75;КГС-;110/10;80;
76;Кидеро;35/10;4;
77;Кизилюртовская  (ГЩЗ);110/10;10;
78;Кизляр-1  ;110/35/10;32;
79;Кизляр-2  ;110/35/10;26;
80;Кировская;35/10;2;
81;Коминтерн ;110/10;2.5;
82;Компас-;110/10;32;
83;Конс. Завод ;35/10;2.5;
84;Кормоцех ;35/10;1;
85;Костек;35/10;5.6;
86;Кочубей  ;110/35/10;12.6;
87;КПФ;35/10;1.6;
88;Кр. Партизан;35/10;1.6;
89;Крайновка;35/10;3.5;
90;Кубачи;35/10;3.4;
91;Кумли ;35/10;1.6;
92;Кумух;35/10;10.3;
93;Кунбатар;35/10;2.8;
94;Курах-;110/35/10;16.3;
95;Куруш ;110/10;11.9;
96;Леваши-;110/10;20;
97;Ленинкент ;35/10;6.3;
98;Лучек;35/10;2.5;
99;Львовская ;110/35/10;16;
100;Магарамкент  ;110/10;11.9;
101;Маджалис;35/10;5;
102;Мамедкала ;110/35/10;22.3;
103;Махачкала-110;110/35/10;50;
104;Мехельта;35/10;4;
105;Миатлы;110/10;12.6;
106;Михеевка;35/10;3.2;
107;Морская- ;110/10;2.5;
108;Мулебки;35/10;2.5;
109;Н-Чиркей-;110/10;10;
110;Набережная;35/10;4.1;
111;Насосная 1;110/10;12.6;
112;Насосная 2;110/10;6.3;
113;Наци;35/10;1;
114;Некрасовка;35/10;4.8;
115;Нечаевка;35/10;4.1;
116;НИИСХа ;35/10;2.5;
117;Новая Коса;35/10;1.6;
118;Новая;110/35/6;80;
119;Новокули;110/6;5;
120;Ногайская;35/10;1.6;
121;Огни;110/6;15.6;
122;Огузер ;35/10;1.6;
123;Октябрьская ;35/10;4.1;
124;Очистные сооружения;110/6;35;
125;Параул;35/10;4.1;
126;Первомайская;35/10;4.3;
127;Пионер;110/6;1.6;напряжени не совпадают, использую из имени
128;Привольная ;35/10;1.6;
129;Приморская;110/10/6;32;
130;Приозерная;110/35/6;50;
131;Прогресс;35/10;4;
132;Радиоцентр;35/10;8.8;
133;Рассвет;110/35/6;26;
134;Родниковая;110/10;2.5;
135;Рутул;35/10;7.9;
136;С.Коса ;35/10;1.6;
137;Сагри;35/10;2.5;
138;Самур;110/10;20;
139;Сардаркент ;35/10;3.5;
140;Свердлова ;35/10;1.6;
141;Сергокала;110/35/10;22.3;
142;Серебряковка ;35/10;2.5;
143;Сивух;35/10;1.6;
144;Советская ;35/10;2.5;
145;Согратль;35/10;6.3;
146;Согратль;35/10;2.5;
147;Солнце;35/10;8.8;
148;Солончак  ;35/6;4;
149;Стальск ;35/10;4;
150;Степная ;35/10;2.5;
151;Сулак ;110/10;20;
152;Сулак;35/10;4.1;
153;Сулевкент ;110/10;6.3;
154;Сыртыч;35/10;1.6;
155;Тагиркент ;110/10;8.8;
156;Такалай;35/10;4.1;
157;Таловка ;110/10;2.5;
158;Тамазатюбе;35/10;3.2;
159;Тарумовка  ;110/35/10;12.6;
160;Татаюрт;35/10;5;
161;Ташкапур;35/10;8.1;
162;Тепличный комбинат;35/10;20;
163;Тлайлух;110/10;6.3;
164;Тлох-;110/35/10;20;
165;Тлярата;35/10;6.5;
166;Т-Мектеб  ;110/35/10;12.6;
167;Тпиг;35/10;3.2;
168;Туршунай;35/10;3.2;
169;Унцукуль;35/10;20;
170;Уркарах-Старая;35/10;1.6;
171;Уркарах-Новая;35/10;5;
172;Уркута;35/10;1.8;
173;Усухчай ;110/10;12.6;
174;Утамыш-Новая;35/10;1.6;
175;Утамыш-Старая;35/10;1.6;
176;Халимбекаул;35/10;4;
177;Хамаматюрт;35/10;4.1;
178;Хив;35/10;5;
179;Хунзах;110/10;32;
180;Хуцеевка ;35/10;2.5;
181;Хучни;35/10;10.3;
182;Цанак;35/10;4;
183;ЦПП;110/35/6;50;
184;Цудахар;110/35/10;20;
185;Цуриб;35/10;6.3;
186;Ч.Буруны ;35/10;1.8;
187;Чагаротар ;35/10;1.6;
188;Черняевка ;35/10;4.1;
189;Чиркей ГПП;110/35/6;26;
190;Шава;35/10;1.6;
191;Шамильское;110/10;12.6;
192;Шамхал;110/35/10;41;
193;Шамхалянгиюрт ;35/10;5;
194;Шаури;35/10;2.5;
195;Шиляги;35/10;1.6;
196;Эрпели;35/10;2.5;
197;Эчеда;35/10;2.5;
198;Юго-Восточная;110/6;20;
199;Юсухокумская;110/35/6;20;
200;Янгильбай;35/10;1.6;
201;Ярык-Су;110/35/10;50;
202;Берег;35/10;6.3;
203;Пионер-2;35/10;0.18;
204;Ирганай ГПП;110/10/35/6;32;
205;"ГПП ""Головной узел""";110/10;6.5;
206;Гоцатлинская;110/10;20;
