№ п/п;Наименование;Установленная мощность, МВА
1;ПС 110/35/10 кВ Элиста-Восточная;
2;ПС 110/10 кВ Большой Царын 2;
3;ПС 110/10 кВ Володаровская;
4;ПС 110/10 кВ Цаган-Аман;
5;ПС 110/35/10 кВ Кегульта;
6;ПС 110/35/10 кВ Малые Дербеты;
7;ПС 110/35/10 кВ Элиста-Западная;
8;ПС 110/35/10 кВ Яшалтинская;
9;ПС 220/110/10 кВ Элиста-Северная;
10;ПС 35/10 кВ Вознесеновская;
11;ПС 35/10 кВ Городовиковская;
12;ПС 35/10 кВ Заливная;
13;ПС 35/10 кВ Зверосовхозная;
14;ПС 35/10 кВ Сарпа;
15;ПС 35/10 кВ Троицкая;
16;ПС 35/10 кВ ЭПТФ;
17;ПС 110/10 кВ Бургустинская;
18;ПС 110/10 кВ Восход;
19;ПС 110/10 кВ Ергенинская;
20;ПС 110/10 кВ Ковыльная;
21;ПС 110/10 кВ Красносельская;
22;ПС 110/10 кВ Татал;
23;ПС 110/10 кВ Чолун-Хамур;
24;ПС 110/35/10 кВ Виноградовская;
25;ПС 110/35/10 кВ Иджил;
26;ПС 110/35/10 кВ Ики-Бурул;
27;ПС 110/35/10 кВ Каспийская-2;
28;ПС 110/35/10 кВ Комсомольская;
29;ПС 110/35/10 кВ Садовое-1;
30;ПС 110/35/10 кВ Советская;
31;ПС 110/35/10 кВ Цаган Толга;
32;ПС 110/35/10 кВ Целинная 2;
33;ПС 110/35/10 кВ Яшкуль-2;
34;ПС 35/10 кВ Буратинская;
35;ПС 35/10 кВ Красномихайловская;
36;ПС 35/10 кВ Первомайская;
37;ПС 35/10 кВ Сарпинская;
38;ПС 35/10 кВ Ут-Сала;
39;ПС 35/10 кВ Хар-Булук;
40;ПС 35/10 кВ Харба;
41;ПС 35/10 кВ Чагорта;
42;ПС 35/10 кВ Чкаловская;
43;ПС 35/10 кВ Шарнутовская;
44;ПС 35/10 кВ Юбилейная;
45;ПС 110/10 кВ Нарын-Худук;
46;ПС 110/10 кВ Сарул;
47;ПС 110/35/10 кВ Красненская;
48;ПС 35/10 кВ Гашунская;
49;ПС 35/10 кВ Лола;
50;ПС 35/10 кВ Михайловская;
51;ПС 35/10 кВ Молодежная;
52;ПС 35/10 кВ Привольная;
53;ПС 35/10 кВ Прикумская;
54;ПС 35/10 кВ Садовка;
55;ПС 35/10 кВ Цаган Усн;
56;ПС 35/10 кВ Чилгир;
57;ПС 35/10 кВ Ялмата;
58;ПС 35/10 кВ Яшкуль1;
59;ПС 110/10 кВ Веселовская;
60;ПС 110/35/10 кВ Черноземельская;
61;ПС 35/10 кВ Аршань Зельмень;
62;ПС 35/10 кВ Бага Тугтун;
63;ПС 35/10 кВ Водозабор;
64;ПС 35/10 кВ Октябрьская;
65;ПС 35/10 кВ Тавн Гашун;
66;ПС 35/10 кВ Эсто-Алтай;
