1;"ПС";"Левашовская";110000;"ПС 55"
2;"ПС";"Василеостровская";110000;"ПС 104"
3;"ПС";"Каменка";35000;"ПС 617"
4;"ПС";"Волхов-Выборгская";35000;"ПС 11"
15;"ПС";"Завод Либкнехта";110000;"ПС 93"
16;"ПС";"Петроградская";110000;"ПС 165"
17;"ПС";"Выборгская";110000;"ПС 190"
18;"ПС";"Осиновая Роща";35000;"ПС 612"
19;"ПС";"НИИ Токов Высокой Частоты";35000;"ПС 614"
23;"ПС";"Дюны";110000;"ПС 127"
24;"ПС";"Сестрорецк-35";35000;"ПС 609"
25;"ПС";"Воскова";35000;"ПС 610"
27;"ПС";"Солнечное";35000;"ПС 621"
30;"ПС";"Парнас-коммунальная";110000;"ПС 89"
32;"ПС";"Завод Светлана";110000;"ПС 103"
33;"ПС";"Гражданская";110000;"ПС 124"
35;"ПС";"ПГВ - 2 Светлана";110000;"ПС 370"
36;"ПС";"Муринская водопроводная станция";110000;"ПС 527"
37;"ПС";"Восточная-Коммунальная";110000;"ПС 92"
38;"ПС";"Невская";35000;"ПС 108"
41;"ПС";"Охтинская";110000;"ПС 184"
43;"ПС";"Оккервильская";110000;"ПС 334"
44;"ПС";"Мирная";110000;"ПС 34"
45;"ПС";"Обухово";110000;"ПС 87"
47;"ПС";"Невский ДСК";110000;"ПС 145"
48;"ПС";"Нарымская";110000;"ПС 160"
49;"ПС";"Тойота";110000;"ПС 161"
51;"ПС";"Звезда";110000;"ПС 205"
52;"ПС";"Волхов-Василеостровская";35000;"ПС 13"
53;"ПС";"Юнтолово";35000;"ПС 870"
56;"ПС";"Волхов-Южная";110000;"ПС 17"
57;"ПС";"Красный треугольник";35000;"ПС 18"
58;"ПС";"Краснопутиловская";110000;"ПС 19"
59;"ПС";"Адмиралтейская";35000;"ПС 40"
60;"ПС";"Рижская";110000;"ПС 140"
61;"ПС";"Красный треугольник";110000;"ПС 88"
62;"ПС";"Сосновая поляна";110000;"ПС 156"
63;"ПС";"Свердловская";110000;"ПС 321"
66;"ПС";"Армалит";110000;"ПС 520"
67;"ПС";"Юго-Западные очистные сооружения";110000;"ПС 535"
70;"ПС";"Московская";110000;"ПС 45"
73;"ПС";"Тепличный комбинат";110000;"ПС 195"
75;"ПС";"Вишерская";110000;"ПС 68"
76;"ПС";"Гагаринская";110000;
77;"ПС";"Шушары";35000;"ПС 705"
78;"ПС";"Купчинская";220000;
80;"ПС";"Бородинская";110000;"ПС 36"
81;"ПС";"Атаманская";110000;"ПС 320"
82;"ПС";"Боровая";110000;"ПС 542"
83;"ПС";"Дзержинская";35000;"ПС 109"
84;"ПС";"Прядильно-ткацкая фабрика";110000;"ПС 90"
85;"ПС";"Озеро Долгое";110000;"ПС 96"
86;"ПС";"Лахта";110000;"ПС 75"
87;"ПС";"Сестрорецк";110000;"ПС 95"
88;"ПС";"Лисий нос";35000;"ПС 611"
89;"ПС";"Лахта";35000;"ПС 613"
90;"ПС";"Парголово-Парнас";110000;"ПС 212"
91;"ПС";"Северная долина";110000;"ПС 216"
92;"ПС";"Металлострой";110000;"ПС 27"
93;"ПС";"Арматура";110000;"ПС 171"
95;"ПС";"Ленсоветовская";110000;"ПС 210"
96;"ПС";"ГПП-ИТЗ";110000;"ПС 552"
98;"ПС";"Усть-Славянка";110000;"ПС 80"
99;"ПС";"Понтонная";35000;"ПС 33"
100;"ПС";"Пушкин-Южная";110000;"ПС 185"
101;"ПС";"Пулково";35000;"ПС 704"
102;"ПС";"Пушкин-северная";110000;"ПС 711"
105;"ПС";"Красное Село";110000;"ПС 154"
106;"ПС";"Университет";110000;"ПС 196"
107;"ПС";"Мартышкино";110000;"ПС 502"
110;"ПС";"Ораниенбаумская";35000;"ПС 23"
111;"ПС";"Петродворец";35000;"Пдц"
112;"ПС";"Броня";35000;"Брн"
113;"ПС";"Гидроприбор";35000;"Гп"
114;"ПС";"Правобережная";110000;"ПС 174"
115;"ПС";"Павловск";110000;"ПС 521"
116;"ПС";"Кутузовская";110000;"ПС 119"
117;"ПС";"Ржевка";110000;"ПС 24"
118;"ПС";"Новоржевская";110000;"ПС 46"
122;"ПС";"Коллонтай";110000;"ПС 173"
123;"ПС";"Дудергофская";110000;"ПС 554"
124;"ПС";"Юсуповская";110000;"ПС 110"
126;"ПС";"Крестовская";110000;"ПС 357"
127;"ПС";"Ниссан";110000;"ПС 99"
128;"ПС";"Петродворец";110000;"ПС 197"
129;"ПС";"Синопская";110000;"ПС 121"
132;"ПС";"Невская Губа";110000;
136;"ПС";"Красный Октябрь";110000;
143;"ММПС";"Московская-Товарная";110000;"ММПС 118"
144;"ПС";"Московская-Товарная";110000;
146;"ПС";"Авиагородок";110000;"ПС 117"
434;"ПС";"Сосновская";110000;"ПС 547"
120;"ПС";;110000;"ПС 155А"
121;"ПС";;110000;"ПС 33А"
34;"ПС";;110000;"ПС 124А"
