Наименование центра питания;Установленная мощность, МВА
ПС 110/35/6 кВ №1 Зубово;26
ПС 35/6 кВ №67 Гранки;16.3
ПС 35/6 кВ №30 Львово;11.9
ПС 35/10 кВ №379 Свободная;3.4
ПС 110/35/10 кВ №3 Белев;40
ПС 35/10 кВ №352 Велична;5
ПС 35/10 кВ №216 Манаенки;5
ПС 35/10 кВ №237 Н.Дольцы;3.2
ПС 110/35/6 кВ №7 Угольная;80.5
ПС 35/10 кВ №40 Выглядовка;8
ПС 35/6 кВ №63 Смородино;20
ПС 35/6 кВ №194 Рудоремонтная;12.6
ПС 35/10 кВ №268 Ширино;12.6
ПС 110/35/10 кВ №10 Одоев;32
ПС 35/10 кВ №405 Жемчужниково;4
ПС 35/10 кВ №191 Арсеньево;8
ПС 35/10 кВ №283 Ивицы;4
ПС 110/35/6 кВ №11 Дубна;26
ПС 35/10 кВ №119 Павшино;6.4
ПС 35/10 кВ №212 Борисово;7.2
ПС 110/6 кВ №13 Суворов;55
ПС 110/35/6 кВ №17 Щегловская;80
ПС 35/6 кВ №241 Мыза;12.6
ПС 110/35/6 кВ №20 Барсуки;50
ПС 35/6 кВ №164 Электропривод;12.6
ПС 35/6 кВ №184 Малиновская;12.6
ПС 35/10 кВ №281 Варфоломеево;6.5
ПС 35/6 кВ №92 Маслово;15.6
ПС 35/6 кВ №369 Непрейка;8
ПС 110/6 кВ №21 Подземгаз;32
ПС 110/6 кВ №22 Задонье;50
ПС 110/35/6 кВ №24 Рудаково;50
ПС 110/35/6 кВ №26 Липки;40
ПС 35/10 кВ №295 Калмыки;6.5
ПС 35/10 кВ №307 Плотина;2.5
ПС 110/35/6 кВ №28 Ушатово;27.5
ПС 35/6 кВ №215 Ханино;12.6
ПС 35/6 кВ №165 Михайловская;3.2
ПС 110/35/6 кВ №31 Ломинцево;32
ПС 110/35/10 кВ №37 Грызлово;45
ПС 110/35/10 кВ № 38 Венев;80
ПС 35/10 кВ №285 Осетровская;8
ПС 35/10 кВ №323 Урусово;8
ПС 110/10/6 кВ №41 Перекоп;123
ПС 110/35/10 кВ №44 Казановка;20
ПС 35/10 кВ №185 Бучалки;5
ПС 35/10 кВ №110 Куликовская;12.6
ПС 110/35/10 кВ №46 Труново;45
ПС 35/10 кВ №217 Алексеевская;4
ПС 35/6 кВ №80 Дедилово;20
ПС 35/6 кВ №47 Кимовская;20
ПС 110/6 кВ №49 Криволучье;32
ПС 110/6 кВ №51 Оболенская;32
ПС 110/35/6 кВ №52 Медвенка;32
ПС 35/6 кВ №61 Сухотино;26
ПС 35/6 кВ №306 Тесницкая;10.3
ПС 110/35/10 кВ №56 Мордвес;20
ПС 35/10 кВ №239 Оленьково;8
ПС 110/35/10 кВ №58 Клен;26
ПС 35/10 кВ №23 Байдино;6.4
ПС 35/10 кВ №314 Прилепы;2.5
ПС 110/6 кВ №60 Ушаково;36
ПС 110/35/6 кВ №62 Ефремов;120
ПС 35/10 кВ №186 Лобаново;2.5
ПС 35/10 кВ №221 Галицы;7.2
ПС 35/10 кВ №273 Осташино;12.6
ПС 35/6 кВ №204 Стрельцы;7.2
ПС 35/10 кВ №156 Павловская;4
ПС 35/10 кВ №222 Чернятино;12.6
ПС 35/10 кВ №311 Кольцово;2.5
ПС 35/10 кВ №238 Марьино;8
ПС 110/6 кВ №64 Кировская;80
ПС 110/35/6 кВ №68 Богородицк;50
ПС 110/35/6 кВ №75 Ясногорск;126
ПС 35/6 кВ №36 Гурово;12.6
ПС 35/10 кВ №296 Зыбино;8
ПС 35/6 кВ №345 Санталово;12.6
ПС 35/6 кВ №53 Синетулица;7.2
ПС 35/6 кВ №287 Ботня;2.5
ПС 35/10 кВ №262 Дмитриевская;8
ПС 35/10 кВ №27 Иваньково;12.6
ПС 35/10 кВ №381 Ненашево;14
ПС 110/35/6 кВ №76 Сокольники;36
ПС 110/35/6 кВ №77 Болоховская;35
ПС 110/35/6 кВ №79 Узловая;80
ПС 35/6 кВ №269 Пашково;8
ПС 35/6 кВ №19 Дубовская;16.3
ПС 110/35/6 кВ №86 Малахово;45
ПС 110/6 кВ №88 Ясенки;50
ПС 110/35/6 кВ №89 Огаревка;41
ПС 35/6 кВ №220 Карамышево;8
ПС 35/10 кВ №279 Гайково;16.3
ПС 110/10 кВ №102 Турдей;20
ПС 110/35/10 кВ №137 Доробино;32
ПС 35/10 кВ №298 Крюковка;8
ПС 35/10 кВ №43 Теплое;12.6
ПС 35/10 кВ №374 Цыгановка;4
ПС 110/10/6 кВ №145 Октябрьская;80
ПС 110/6 кВ №146 Гремячее;26
ПС 110/10/6 кВ №149 Мясново;75
ПС 110/35/10 кВ №163 Волово;32
ПС 35/10 кВ №288 Дворики;5
ПС 35/10 кВ №263 Баскаково;2.5
ПС 110/10 кВ №183 Пушкинская;41
ПС 110/35/10 кВ №193 Чекалин;13.8
ПС 35/10 кВ №327 Бряньково;4
ПС 110/10 кВ №199 Залесная;50
ПС 110/35/10 кВ №200 Тургеневская;32
ПС 35/10 кВ №346 Поповка;8
ПС 35/10 кВ №353 Ержино;8
ПС 35/10 кВ №416 Луговка;8
ПС 35/10 кВ №94 Липицы;10.3
ПС 35/10 кВ №342 Горбачево;8
ПС 110/10/6 кВ №202 Пролетарская;50
ПС 110/6 кВ №213 Рождественская;32
ПС 110/10/6 кВ №218 Южная;75
ПС 110/10/6 кВ №219 Центральная;65
ПС 110/10 кВ №240 Красный Яр;12.6
ПС 110/10/6 кВ №243 Привокзальная;80
ПС 110/35/10 кВ №245 Смычка;50
ПС 35/10 кВ №161 Соковнино;7.2
ПС 35/10 кВ № 168 Ботвиньево;8
ПС 35/10 кВ №315 Костер;8
ПС 110/35/6 кВ №246 Безово;10
ПС 35/6 кВ №182 Кулешово;4
ПС 110/6 кВ №254 Шатск;20
ПС 110/10 кВ №278 Алешня;32
ПС 110/35/10 кВ №302 Рассвет;32
ПС 110/35/10 кВ № 303 Авангард;20
ПС 110/10 кВ №304 Глушанки;26
ПС 110/6 кВ №310 Партизан;32
ПС 110/6 кВ №319 КПД;20
ПС 110/35/10 кВ №321 Заокская;32
ПС 35/10/6 кВ №155 Хрипково;5
ПС 110/10 кВ №322 Яковлево;20
ПС 110/10/6 кВ №326 Краинка;26
ПС 110/35/6 кВ №334 Селиваново;32
ПС 35/6 кВ №192 Алимкин;8
ПС 35/6 кВ №175 Кураково;8
ПС 110/10 кВ №338 Говоренки;6.3
ПС 110/10 кВ №339 Кальна;11.9
ПС 110/6 кВ №344 Средняя;26
ПС 110/35/6 кВ №351 Самарская;32
ПС 35/6 кВ №57 Куркино;12.6
ПС 110/35/10 кВ №358 Арматурная;50
ПС 35/10 кВ №195 Знаменская;10.3
ПС 35/10 кВ № 274 Бахметьево;8
ПС 110/6 кВ №363 Временная;6.3
ПС 110/10 кВ №367 Технологическая;32
ПС 110/10/6 кВ №370 Тулица;50
ПС 110/10/6 кВ № 371 Никулинская;50
ПС 110/6 кВ №378 Гагаринская;41
ПС 110/6 кВ №384 Советская;26
ПС 110/35/6 кВ №385 Обидимо;23.5
ПС 110/35/6 кВ №386 Мелиоративная;10
ПС 110/35/6 кВ №390 Лужное;16
ПС 110/6 кВ №404 Ратово;20
ПС 110/10 кВ №406 Крушма;6.3
ПС 110/10 кВ №407 Глебово;6.3
ПС 110/10 кВ №408 Епифань;16.3
ПС 110/35/10 кВ №409 Черемушки;10
ПС 35/10 кВ №95 Шилово;6.3
ПС 110/10 кВ №410 Давыдово;6.3
ПС 110/35/10 кВ №415 Савино;20
ПС 110/35/10 кВ №421 Каменка;26
ПС 35/10 кВ №354 Молчаново;1.6
ПС 35/10 кВ №90 Архангельская;10
ПС 110/35/10 кВ № 423 Даргомыжская;16
ПС 110/6 кВ №427 Айдарово;25
ПС 110/10 кВ №430 Точмаш;32
ПС 110/10/10 кВ №433 Стечкин;80
