"№ п/п";"Наименование ПС";"Трансформаторная мощность, МВА"
1;"ПС 500 кВ «Вешкайма»";265.71
2;"ПС 500 кВ «Ключики»";1255.78
3;"ПС 220 кВ «Ульяновская»";377.26
4;"ПС 220 кВ «Кремёнки»";431.51
5;"ПС 220 кВ «Черемшанская»";332.06
6;"ПС 220 кВ «Барыш»";142.3
7;"ПС 220 кВ «1М» (АТ-1, Т-1, Т-2)";246
8;"ПС 110 кВ «2М»";30
9;"ПС 110 кВ «3М»";50
10;"ПС 110 кВ «Центральная»";206
11;"ПС 110 кВ «Лесная»";50
12;"ПС 110 кВ «УАЗ»";50
13;"ПС 110 кВ «УРЛЗ»";50
14;"ПС 110 кВ «УМЗ»";64
15;"ПС 110 кВ «АЗЧ»";50
16;"ПС 110 кВ «Северная»";100
17;"ПС 110 кВ «Ишеевка»";50
18;"ПС 110 кВ «Свияга»";126
19;"ПС 110 кВ «Южная»";56
20;"ПС 110 кВ «Большие Ключищи»";16.3
21;"ПС 110 кВ «Восточная»";65
22;"ПС 110 кВ «Тепличная»";12.6
23;"ПС 110 кВ «Отрада»";16.3
24;"ПС 110 кВ «Уржумская»";12.6
25;"ПС 110 кВ «Тагай»";6.3
26;"ПС 110 кВ «Чуфарово»";12.6
27;"ПС 110 кВ «Россия»";12.6
28;"ПС 110 кВ «Выры»";8.8
29;"ПС 110 кВ «Луговая»";12.6
30;"ПС 110 кВ «Карсун»";41
31;"ПС 110 кВ «Языково»";20
32;"ПС 110 кВ «Майна»";16.3
33;"ПС 110 кВ «Игнатовка»";12.6
34;"ПС 110 кВ «Тимошкино»";20
35;"ПС 110 кВ «Александровка»";12.6
36;"ПС 110 кВ «Мулловка»";20
37;"ПС 110 кВ «Озёрки»";16.3
38;"ПС 110 кВ «Чердаклы»";50
39;"ПС 110 кВ «Мирная»";20
40;"ПС 110 кВ «Матвеевка»";16.3
41;"ПС 110 кВ «Мелекесс городская»";80
42;"ПС 110 кВ «Вешкайма»";20
43;"ПС 110 кВ «Инза тяговая»";50
44;"ПС 110 кВ «Налейка тяговая»";31
45;"ПС 110 кВ «Безводовка»";16
46;"ПС 110 кВ «Коромысловка тяговая»";25
47;"ПС 110 кВ «Патрикеево тяговая»";25
48;"ПС 110 кВ «Редуктор»";16.3
49;"ПС 110 кВ «Должниково тяговая»";35
50;"ПС 110 кВ «Ночка тяговая»";30
51;"ПС 110 кВ «ПОШ»";20
52;"ПС 110 кВ «Сура»";31
53;"ПС 110 кВ «Клин»";80
54;"ПС 110 кВ «Коптевка тяговая»";35
55;"ПС 110 кВ «Старая Кулатка»";12.6
56;"ПС 110 кВ «Павловка»";20
57;"ПС 110 кВ «Радищево»";26
58;"ПС 110 кВ «Канадей тяговая»";20
59;"ПС 110 кВ «Новообразцовая тяговая»";32
60;"ПС 110 кВ «Журавлинская»";12.6
61;"ПС 110 кВ «Репьёвка тяговая»";30
62;"ПС 110 кВ «Нагорная»";20
63;"ПС 110 кВ «Куроедово»";6.3
64;"ПС 110 кВ «Ключики тяговая»";30
65;"ПС 110 кВ «Рачейка тяговая»";30
66;"ПС 110 кВ «Никулино»";7.5
67;"ПС 110 кВ «Лебяжье»";6.3
68;"ПС 110 кВ «Рязаново»";26
69;"ПС 110 кВ «Новая Майна»";32
70;"ПС 110 кВ «Новая Малыкла»";12.6
71;"ПС 110 кВ «Новочеремшанск»";10
72;"ПС 110 кВ «Русский Мелекесс»";2.5
73;"ПС 110 кВ «Тиинск»";26
74;"ПС 110 кВ «Жедяевка»";2.5
75;"ПС 110 кВ «Красная Река»";22.3
76;"ПС 110 кВ «Прибрежная»";32
77;"ПС 110 кВ «Старое Матюшкино»";6.3
78;"ПС 110 кВ «Дмитриево Помряскино»";2.5
79;"ПС 110 кВ «Водозабор»";20
80;"ПС 110 кВ «Зенит»";12.6
81;"ГПП 110 кВ «Площадка А»";20
82;"ПС 110 кВ «СОРВ»";32
83;"ПС 110 кВ «Промплощадка-1»";126
84;"ПС 110 кВ «Промплощадка-2»";80
85;"ПС 110 кВ «Стройбаза»";50
86;"ГПП 110 кВ «Площадка-3»";32
87;"ПС 110 кВ «Станкозавод»";32
88;"ПС 110 кВ «Новый город-1»";126
89;"ПС 110 кВ «Новый город-2»";80
90;"ПС 110 кВ «ОСК»";20
91;"ПС 110 кВ «ГНС-2»";32
92;"ПС 110 кВ «Заволжская»";75
93;"ПС 110 кВ «МИЗ»";10
94;"ПС 110 кВ «Криуши»";12.6
95;"ПС 110 кВ «Тушна»";6.3
96;"ПС 110 кВ «Сенгилей цемзавод»";25
97;"ПС 110 кВ «Сенгилей город»";12.6
98;"ПС 110 кВ «Елаур»";12.6
99;"ПС 110 кВ «Кротково»";6.3
100;"ПС 110 кВ «ЗСК»";41
101;"ПС 110 кВ «Скугареевка»";10
102;"ПС 110 кВ «Тереньга»";20
103;"ПС 110 кВ «Юбилейная»";32
104;"ПС 110 кВ «Белый Ключ»";32
105;"ПС 110 кВ «Мелькомбинат»";12.6
106;"ПС 110 кВ «Гидронамыв»";10
107;"ПС 110 кВ «Бирючевская»";6.3
108;"ПС 110 кВ «Цильна»";40
109;"ПС 110 кВ «Большое Нагаткино»";32
110;"ПС 110 кВ «Сурская»";32
111;"ПС 110 кВ «Чамзинка»";10
112;"ПС 110 кВ «Сосновка»";6.3
113;"ПС 110 кВ «Белозерье»";6.3
114;"ПС 110 кВ «Большая Кандарать»";16.3
115;"ПС 110 кВ «Горенки»";6.3
116;"ПС 110 кВ «Глотовка»";10
117;"ПС 110 кВ «Барыш тяговая»";50
118;"ПС 110 кВ «Октябрьская»";5.7
119;"ПС 110 кВ «Шаховская»";6.3
120;"ПС 110 кВ «Барановка»";22.3
121;"ПС 110 кВ «Базарный Сызган»";6.3
